facility_id,name,city,state,county,lat,lon,field_office,cbsa_name,cbsa_type,days_midnight,avg_midnight_pop,max_midnight_pop
IWAHOLD,AZ Removal Operation Coord Center (Arocc),Mesa,AZ,Maricopa,33.30339444,-111.6627399,Phoenix,"Phoenix-Mesa-Chandler, AZ",Metro,304.0,60.1,499.0
ABRXSPA,Abraxas Academy,Morgantown,PA,Berks,40.19181355,-75.91580532,Philadelphia,"Reading, PA",Metro,43.0,0.6,5.0
ADAMSMS,Adams County Correctional Center,Natchez,MS,Adams,31.55764769,-91.22127871,New Orleans,"Natchez, MS-LA",Micro,365.0,2158.8,2563.0
ADDCOVT,Addison County Jail,Middlebury,VT,Addison,44.01144984,-73.16365678,Boston,,Rural,0.0,0.0,0.0
ADLNTCA,Adelanto ICE Processing Center,Adelanto,CA,San Bernardino,34.55993666,-117.4388741,Los Angeles,"Riverside-San Bernardino-Ontario, CA",Metro,365.0,1337.9,1932.0
ADVHBCA,Adventist Health Bakersfield,Bakersfield,CA,Kern,35.38320895,-119.0205378,San Francisco,"Bakersfield-Delano, CA",Metro,4.0,0.0,1.0
ADVHCHI,Adventist Health Castle,Kailua,HI,Honolulu,21.38062035,-157.7576827,San Francisco,"Urban Honolulu, HI",Metro,0.0,0.0,0.0
ADVHDCA,Adventist Health Delano,Delano,CA,Kern,35.76232272,-119.2389025,San Francisco,"Bakersfield-Delano, CA",Metro,0.0,0.0,0.0
AGC,Aguadilla Service Processing Center,Aguadilla,PR,Aguadilla,18.49562533,-67.14344217,Miami,"Aguadilla, PR",Metro,80.0,3.2,55.0
ALAMCNC,Alamance County Detention Center,Graham,NC,Alamance,36.06825389,-79.40362386,Atlanta,"Burlington, NC",Metro,249.0,17.4,49.0
ALAMOTX,Alamo Police Department,Alamo,TX,Hidalgo,26.18684613,-98.11078218,Harlingen,"McAllen-Edinburg-Mission, TX",Metro,2.0,0.0,14.0
ALMHOLD,Alamosa Hold Room,Alamosa,CO,Alamosa,37.45111503,-105.8659922,Denver,"Alamosa, CO",Micro,7.0,0.0,2.0
ALEXAVA,Alexandria City Jail,Alexandria,VA,Alexandria,38.79792346,-77.06462629,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metro,14.0,0.0,1.0
JENATLA,Alexandria Staging Facility,Alexandria,LA,Rapides,31.3175636,-92.53649027,New Orleans,"Alexandria, LA",Metro,365.0,377.4,631.0
ALLEGNY,Allegany County Jail,Belmont,NY,Allegany,42.2125682,-78.01703328,Buffalo,,Rural,355.0,7.9,21.0
ALLEGVA,Alleghany County Jail,Covington,VA,Covington,37.7927241,-79.99578035,Washington,,Rural,1.0,0.0,1.0
APPSCLA,Allen Parish Public Safety Complex,Oberlin,LA,Allen,30.62356505,-92.78271897,New Orleans,,Rural,365.0,152.4,192.0
AHGRFND,Altru Hospital Grand Forks,Grand Forks,ND,Grand Forks,47.91064662,-97.06872998,St Paul,"Grand Forks, ND-MN",Metro,5.0,0.0,1.0
APIBHCA,Alvarado Parkway Institute,La Mesa,CA,San Diego,32.77458776,-117.0441556,San Diego,"San Diego-Chula Vista-Carlsbad, CA",Metro,166.0,1.7,5.0
AMHERVA,Amherst County Jail,Madison Heights,VA,Amherst,37.40853902,-79.09350065,Washington,"Lynchburg, VA",Metro,6.0,0.0,1.0
AGMDCCA,Anaheim Global Medical Center,Anaheim,CA,Orange,33.81984189,-117.9092551,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Metro,84.0,0.5,3.0
ANCHOAK,Anchorage Correctional Complex,Anchorage,AK,Anchorage,61.21848468,-149.8568744,Seattle,"Anchorage, AK",Metro,273.0,3.9,43.0
ANCHOLD,Anchorage Sub-Office Hold Room,Anchorage,AK,Anchorage,61.21236695,-149.8722869,Seattle,"Anchorage, AK",Metro,1.0,0.0,3.0
ANSGHTX,Anson General Hospital,Anson,TX,Jones,32.76791074,-99.89514243,Dallas,"Abilene, TX",Metro,0.0,0.0,0.0
AKANVIL,"Anvil Mountain Correctional Institution, Nome",Nome,AK,Nome,64.5376119,-165.4121958,Seattle,,Rural,3.0,0.0,1.0
ARAPACO,Arapahoe County Jail,Centennial,CO,Arapahoe,39.58144095,-104.8326118,Denver,"Denver-Aurora-Centennial, CO",Metro,0.0,0.0,0.0
AZSVCPC,Arizona State Prison - Yuma,San Luis,AZ,Yuma,32.50243458,-114.6465752,Phoenix,"Yuma, AZ",Metro,0.0,0.0,0.0
ARRMCCA,Arrowhead Regional Medical Center,Colton,CA,San Bernardino,34.07398698,-117.351356,Los Angeles,"Riverside-San Bernardino-Ontario, CA",Metro,28.0,0.1,2.0
AFRC,Artesia Family Residential Center,Artesia,NM,Eddy,32.85731048,-104.4129082,El Paso,"Carlsbad-Artesia, NM",Micro,0.0,0.0,0.0
ATLHOLD,Atlanta District Hold Room,Atlanta,GA,Fulton,33.74958147,-84.39736522,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",Metro,363.0,40.3,100.0
ATLANGA,Atlanta Pretrial Detention Center,Atlanta,GA,Fulton,33.74728512,-84.39542925,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",Metro,1.0,0.0,1.0
BIINCCO,"BI Incororated, Geo Group Company",Aurora,CO,Adams,39.76087267,-104.8491804,Denver,"Denver-Aurora-Centennial, CO",Metro,3.0,0.0,1.0
ABIRJVA,BRRJ Abingdon,Abingdon,VA,Washington,36.73258655,-81.91168152,Washington,"Kingsport-Bristol, TN-VA",Metro,31.0,0.9,47.0
HLFRJVA,BRRJ Halifax,Halifax,VA,Halifax,36.76491657,-78.92995941,Washington,,Rural,1.0,0.0,1.0
LYNRJVA,BRRJ Lynchburg,Lynchburg,VA,Lynchburg,37.41283622,-79.14506302,Washington,"Lynchburg, VA",Metro,29.0,0.1,5.0
FLBAKCI,Baker CI,Sanderson,FL,Baker,30.21764047,-82.36717399,Miami,"Jacksonville, FL",Metro,190.0,399.8,1006.0
BAKERFL,Baker County Detention Center,Macclenny,FL,Baker,30.29585011,-82.12157801,Miami,"Jacksonville, FL",Metro,365.0,268.0,314.0
BALDWAL,Baldwin County Correctional Center,Bay Minette,AL,Baldwin,30.88542951,-87.77481125,New Orleans,"Daphne-Fairhope-Foley, AL",Metro,166.0,8.0,47.0
BALHOLD,Baltimore Hold Room,Baltimore,MD,Baltimore,39.28809309,-76.61669655,Baltimore,"Baltimore-Columbia-Towson, MD",Metro,363.0,54.9,181.0
BIMDCAZ,Banner Ironwood Medical Center,Queen Creek,AZ,Pinal,33.21459325,-111.5655306,Phoenix,"Phoenix-Mesa-Chandler, AZ",Metro,20.0,0.1,1.0
BNMCTAZ,Banner Medical Center Tucson,Tucson,AZ,Pima,32.24189358,-110.9463954,Phoenix,"Tucson, AZ",Metro,55.0,0.3,1.0
BANHOAZ,Banner University Medical Phoenix,Phoenix,AZ,Maricopa,33.46461231,-112.0596058,Phoenix,"Phoenix-Mesa-Chandler, AZ",Metro,43.0,0.2,1.0
