facility_id,avg_midnight_before,convicted_rate_before,female_rate_before,active_days_before,avg_midnight_after,convicted_rate_after,female_rate_after,active_days_after
ABIRJVA,,,,,10.4839,0.4691,0.0169,59.0
ABQHOLD,1.1688,0.6302,0.0314,221.0,2.0204,0.327,0.037,310.0
ABRXSPA,1.0,1.0,0.0,2.0,4.7674,0.0227,0.0,44.0
ADAMSMS,1342.5534,0.0115,0.0,842.0,2159.0361,0.0693,0.0,415.0
ADDCOVT,,,,,,0.5,0.0,2.0
ADLNTCA,9.2933,0.9831,0.0638,842.0,1196.4386,0.5833,0.0886,415.0
AFRC,,,,,,0.5,0.0,1.0
AGAHOLD,1.0,1.0,0.0,30.0,1.0,0.1786,0.4286,7.0
AGC,,,,,14.0215,0.1509,0.0109,137.0
AKANVIL,,,,,1.0,0.0,0.0,4.0
AKCOOKI,1.0,1.0,0.0,6.0,1.0,1.0,0.0,4.0
AKFAIRB,1.0,1.0,0.0,5.0,1.0,0.5,0.25,8.0
AKGSCCC,1.0,1.0,0.0,6.0,,,,
AKHIGHL,1.0,0.3571,1.0,14.0,1.1842,0.1,1.0,50.0
AKKETCH,,,,,1.0,0.0,0.0,3.0
AKLEMON,1.0,1.0,0.0,2.0,1.0,0.0625,0.0,16.0
AKMATSU,,,,,1.0,0.2727,0.0,11.0
ALAMCNC,19.1914,0.8225,0.0089,842.0,24.8361,0.4951,0.044,300.0
ALAMOTX,,,,,7.5,0.2143,0.0476,6.0
ALBHOLD,1.3333,0.5884,0.012,83.0,1.9412,0.1518,0.1413,195.0
ALEXAVA,,1.0,0.0,1.0,1.0,0.4857,0.0,35.0
ALHAMCA,,0.0,0.0,1.0,,,,
ALLEGNY,,,,,8.2174,0.0659,0.9285,372.0
ALLEGVA,,,,,1.0,0.6667,0.0,3.0
ALMHOLD,,1.0,0.0,1.0,1.2857,0.5323,0.081,45.0
AMHERVA,,,,,1.0,0.3636,0.0,11.0
AMTHOLD,1.0,0.6839,0.0341,443.0,3.0,0.4244,0.0502,303.0
ANCHOAK,1.1059,0.8151,0.0,119.0,4.7903,0.3706,0.0,336.0
ANCHOLD,,1.0,0.0,1.0,3.0,0.0286,0.3976,7.0
ANDERSC,,1.0,0.0,1.0,,,,
APPSCLA,125.5131,0.1511,0.0,842.0,155.6675,0.3388,0.0014,415.0
ARAPACO,,,,,,0.5,0.0,2.0
ARTESNM,,0.0,1.0,1.0,,,,
ATLANGA,,1.0,0.0,2.0,1.0,0.5,0.0,6.0
ATLHOLD,1.0614,0.6037,0.1121,672.0,36.7488,0.3657,0.0953,414.0
ATTHOLD,1.1111,0.9677,0.0363,124.0,,0.1429,0.4,5.0
AURORCO,,1.0,0.0,1.0,,,,
AUSHOLD,1.0844,0.6033,0.0336,664.0,1.8544,0.4326,0.0681,411.0
AZSPPER,,,,,,0.0,0.0,1.0
AZSVCPC,,,,,,1.0,0.0,15.0
BAKERFL,210.0344,0.7669,0.1079,842.0,264.8265,0.5145,0.3098,415.0
BALDWAL,2.436,0.4518,0.0313,621.0,16.1458,0.1793,0.0657,199.0
BALHOLD,1.3636,0.7418,0.0764,495.0,51.5553,0.3027,0.1423,414.0
BARTOGA,,1.0,0.0,1.0,,,,
BASILLA,651.7625,0.1199,0.9981,842.0,915.2578,0.1671,0.9981,415.0
BAYCOFL,,,,,2.6667,0.3958,0.4167,8.0
BCORCPA,40.9604,0.0001,0.9999,102.0,,,,
BEAVRPA,2.1308,0.9508,0.1443,140.0,,,,
BEDCITX,1.0,1.0,0.0,842.0,1.0,0.9988,0.0,415.0
BELCOTX,1.5683,0.5977,0.05,232.0,1.6881,0.3483,0.0702,175.0
BELMOOH,,1.0,0.0,1.0,,,,
BERGENJ,1.0,0.0,0.0,40.0,,,,
BERNANM,,,,,,0.5,0.0,2.0
BHMHOLD,1.0,0.2778,0.3037,36.0,4.0,0.245,0.1593,253.0
BIINCCO,,0.0,0.5,1.0,1.0,0.2012,0.315,41.0
BILHOLD,,1.0,0.0,2.0,,0.0,0.25,2.0
BKLHOLD,1.8072,0.8383,0.0124,531.0,2.7008,0.4343,0.0832,358.0
BLBNATX,613.0534,0.3456,0.1308,842.0,1031.4337,0.3346,0.1005,415.0
BLGHOLD,,0.9083,0.0833,12.0,,0.5,0.0,2.0
BLHHOLD,,0.5,0.0,2.0,,,,
BLOJVTN,,,,,1.0,0.0,0.0,82.0
BOIHOLD,,0.8838,0.0167,180.0,30.0,0.6648,0.0243,234.0
BOONEKY,121.4525,0.7888,0.0219,842.0,189.7928,0.6062,0.0253,415.0
BOPALM,,1.0,0.0,1.0,,,,
BOPATL,,,,,122.1713,0.4339,0.0,397.0
BOPBER,,,,,213.1078,0.2237,0.0003,371.0
BOPBRO,,,,,116.2803,0.2523,0.0,264.0
BOPCAA,,,,,,1.0,0.0,4.0
BOPCNV,,0.0263,0.6114,38.0,1.0,0.2778,0.3519,9.0
BOPDAL,1.0,1.0,0.0,2.0,,,,
BOPDEV,,,,,,0.0,0.0,1.0
BOPGUA,5.5865,0.7971,0.0238,821.0,6.027,0.7255,0.0186,39.0
BOPHON,15.304,0.6664,0.1707,842.0,66.4699,0.4019,0.1362,415.0
BOPLAT,,,,,,0.0,0.0,1.0
BOPLEW,,,,,159.2708,0.7233,0.0,48.0
BOPLEX,,,,,,0.3125,0.125,4.0
BOPLOF,1.2222,0.9861,0.0032,350.0,,,,
BOPLOM,,0.9971,0.0172,29.0,,,,
BOPLOS,,0.5,0.0,2.0,1.0,0.8333,0.0,6.0
BOPLVN,,,,,62.0176,0.6791,0.0,397.0
BOPMCR,,1.0,1.0,1.0,,0.0,0.0,1.0
BOPMIA,,,,,2.0,1.0,0.0,2.0
BOPMIM,,,,,393.7531,0.5436,0.0,397.0
BOPMRG,,1.0,0.0,1.0,,,,
BOPOAD,,0.2917,0.0,2.0,1.0,0.0833,0.0,3.0
BOPPET,,1.0,0.0,2.0,,,,
BOPPHL,,,,,92.0378,0.2565,0.0003,397.0
BOPPHX,,0.1667,0.1667,6.0,,0.5,0.0,6.0
BOPPOL,,,,,,0.3333,0.0,3.0
BOPRAE,,,,,,0.0,0.0,1.0
BOPSET,,1.0,0.5,2.0,,0.4,0.6,5.0
BOPSHE,,1.0,0.0,1.0,,,,
BOPSPG,1.3636,1.0,0.0,21.0,1.0,1.0,0.0,11.0
BOPTCN,,0.5,0.25,4.0,,1.0,0.0,1.0
BOPVIM,,1.0,0.0,1.0,,0.0,0.0,1.0
BOSHOLD,1.2955,0.3782,0.1297,367.0,17.2781,0.2385,0.2229,381.0
BOSSRLA,1.0,0.0,0.0,2.0,,,,
BOURBKY,,,,,8.3277,0.4761,0.1019,152.0
BPC,,0.0,0.5,4.0,1.8333,0.0667,0.2667,30.0
BRDFDFL,1.0,0.2262,0.0357,14.0,,0.0,0.0,2.0
BREVDFL,,,,,1.9037,0.1579,0.0432,259.0
BRKHOLD,,0.7941,0.0,17.0,,,,
BROJAFL,1.6596,0.2365,0.1644,69.0,3.1818,0.224,0.1717,380.0
BROKSTX,,,,,26.75,0.2348,0.0021,130.0
BROMMNY,,,,,33.4665,0.0994,0.0118,333.0
BROWNWI,,,,,3.0556,0.4905,0.0,91.0
BRWNSTX,,,,,,0.0,0.0,1.0
BRYANGA,,,,,,0.1667,0.0,2.0
BSAHOLD,3.4375,0.75,0.0372,500.0,33.9751,0.3559,0.0962,409.0
BSCHOLD,,0.9784,0.0,417.0,1.0,0.7796,0.0291,169.0
BTV,450.158,0.5285,0.0,842.0,694.4361,0.294,0.0001,415.0
BUFHOLD,,0.3,0.1,5.0,5.4054,0.0893,0.4438,114.0
BURLEND,,,,,15.7209,0.3016,0.0899,301.0
BURNETX,2.9787,0.7523,0.037,167.0,4.0,0.0,0.0,2.0
BUTLEOH,,,,,312.1595,0.2324,0.0849,370.0
CACFMES,46.1164,1.0,0.0,842.0,246.2819,0.5344,0.0683,415.0
CACHEUT,3.1818,0.9241,0.0,38.0,3.541,0.619,0.0537,73.0
CACTYCA,,,,,1040.7398,0.3252,0.134,196.0
CADESVI,301.0297,0.6039,0.0,842.0,418.1012,0.2109,0.0001,415.0
CALHOMI,104.5261,0.509,0.1082,842.0,168.1711,0.2287,0.1067,415.0
CAMBRPA,,,,,40.2095,0.2482,0.3602,148.0
CAMCOWY,1.0,1.0,0.0,2.0,1.5,0.1803,0.0509,77.0
CAMENCW,,1.0,0.0,2.0,,,,
CAMERTX,,0.0,0.0,1.0,,0.0,0.0,2.0
CARDFVA,219.8753,0.6244,0.0077,842.0,322.653,0.4041,0.0477,415.0
CARJAMN,1.25,0.6615,0.0,32.0,,,,
CARROMD,,,,,1.3333,0.0,0.2,5.0
CASCAMT,2.1272,0.6918,0.0102,255.0,3.3859,0.4495,0.0,253.0
CASPSAC,,,,,,0.0,0.0,1.0
CASSCND,,,,,1.0,0.0,0.0,6.0
CASSCNE,,,,,17.0165,0.5738,0.0767,305.0
CATAHLA,,,,,1.0,0.1111,0.1111,9.0
CBENDTX,6.2067,0.5095,0.1145,820.0,54.799,0.2577,0.1441,415.0
CBPHOLD,,,,,5.4419,0.1521,0.98,50.0
CBPORIL,,,,,1.0,0.2812,0.1693,32.0
CBRRSNC,1.1881,0.9565,0.0243,268.0,1.6184,0.4356,0.1724,101.0
CCADCAZ,,0.0,0.0,3.0,,,,
CCAFLAZ,356.7197,0.677,0.0015,842.0,494.9373,0.5441,0.0007,415.0
CCAHUTX,399.3159,0.3798,0.0,842.0,422.3253,0.4531,0.0,415.0
CCANOOH,,,,,201.6895,0.2538,0.0001,380.0
CCASDCA,1136.8515,0.1842,0.2062,842.0,1380.0386,0.178,0.1828,415.0
CHAHOLD,1.0,0.2548,0.1873,87.0,1.0,0.197,0.1061,22.0
CHARLSC,1.0,0.6667,0.0,6.0,1.0,0.191,0.1173,54.0
CHASEKS,71.2874,0.7431,0.073,842.0,111.2458,0.4322,0.091,415.0
CHAVENM,1.25,0.6726,0.0629,140.0,2.524,0.2058,0.1426,360.0
CHFLDVA,1.0,1.0,0.0,5.0,,0.0,0.5,1.0
CHIHOLD,,0.0352,0.5409,91.0,2.6154,0.1701,0.2482,126.0
CHIPPMI,11.6556,0.4817,0.0,842.0,38.1831,0.2377,0.0,415.0
CHLHOLD,3.0588,0.665,0.0116,369.0,7.5045,0.282,0.0541,366.0
CHMCINY,,0.8871,0.0323,31.0,,0.4545,0.0,11.0
CHMHOLD,,0.0,0.25,4.0,3.6667,0.0291,0.4824,47.0
CHRISKY,,,,,99.8274,0.3096,0.0054,169.0
CHRLTFL,,,,,5.9091,0.4416,0.3889,18.0
CHSHOLD,,,,,1.0,0.25,0.0,4.0
CHSPKVA,,,,,2.3077,0.2378,0.0544,150.0
CHTHMGA,,,,,2.8333,0.0992,0.0,11.0
